question,answer
Which health care workers can provide medical abortion services?,"Abortions are safe when they are carried out with a method that is recommended by WHO and that is appropriate to the pregnancy duration, and when the person carrying out the abortion has the necessary skills.In addition to non-specialist and specialist doctors, a wide range of health worker cadres – such as auxiliary nurses, auxiliary nurse midwives, nurses, midwives, associate/ advanced associate clinicians, pharmacists and doctors of complementary
    medicine – can provide various aspects of medical abortion services."
Can medical abortion be self-managed by the client herself?,"When using the combination mifepristone and misoprostol regimen, the medical abortion process can be self-managed for pregnancies up to 12 weeks of gestation, including the ability to take the medications at home, without direct supervision of a health-care
    provider."
Is an ultrasound routinely required for the provision of abortion?,"Ultrasound scanning is not routinely required for the provision of abortion. A physical examination to assess uterine size, determine the last menstrual period and identify symptoms of pregnancy are usually adequate."
Can unsafe abortions be prevented?,"Unsafe abortions can be prevented through: Comprehensive sexuality educationPrevention of unintended pregnancy through use of effective contraception, including emergency contraceptionProvision of legal safe abortion. A safe abortion is an abortion carried out with a method that is recommended by WHO and that is appropriate to the pregnancy duration; and for which the person carrying out the abortion has the necessary skills."
What is a refractive error?,"A refractive error is a very common eye disorder. It occurs 
when the eye cannot clearly focus the images from the outside world. The
 result of refractive errors is blurred vision, which is sometimes so 
severe that it causes visual impairment.
		The four most common refractive errors are:myopia (nearsightedness): difficulty in seeing distant objects clearly;hyperopia (farsightedness): difficulty in seeing close objects clearly; astigmatism: distorted vision resulting from an irregularly curved cornea, the clear covering of the eyeball.presbyopia: which leads to difficulty in reading or seeing at 
arm's length, it is linked to ageing and occurs almost universally.Refractive errors cannot be prevented, but they can be 
diagnosed by an eye examination and treated with corrective glasses, 
contact lenses or refractive surgery. If corrected in time and by 
eye-care professionals, they do not impede the full development of good 
visual function. Correction is provided in different forms according to 
the defect, the age f the person, the requirements in terms of work of 
activity performed.

WHO estimates that 153 million people worldwide live with 
visual impairment due to uncorrected refractive errors. This figure does
 not include the people living with uncorrected presbyopia, which is 
likely to be quite significant, according to some early evidence.WHO, its Member States and partners are working to find ways 
to provide good quality, professionally prescribed, local, affordable 
corrective  refraction services to people in need, especially in poor 
areas with limited eye care services.Related linksBlindness and Vision"
Up to what age can a baby stay well nourished by just being breastfed?,"Infants should be exclusively breastfed – i.e. receive only breast milk – for the first six months of life to achieve optimal growth, development and health. ""Exclusive breastfeeding"" is defined as giving no other food or drink – not
    even water – except breast milk. It does, however, allow the infant to receive oral rehydration salts (ORS), drops and syrups (vitamins, minerals and medicines). Breast milk is the ideal food for the healthy growth and development of infants;
    breastfeeding is also an integral part of the reproductive process with important implications for the health of mothers.WHO recommends that infants start receiving complementary foods at six months (180 days) of age in addition to breast milk. Foods should be adequate, meaning that they provide sufficient energy, protein and micronutrients to meet a growing child's nutritional
    needs. Foods should be prepared and given in a safe manner to minimize the risk of contamination. Feeding young infants requires active care and stimulation to encourage the child to eat.The transition from exclusive breastfeeding to full use of family foods is a very vulnerable period. It is the time when many infants become malnourished, contributing significantly to the high prevalence of malnutrition in children under five years of
    age worldwide. It is essential therefore that infants receive appropriate, adequate and safe complementary foods to ensure the right transition from the breastfeeding period to the full use of family foods.Amounts of foods to offerAgeTextureFrequencyAmount at each meala6–8 monthsStart with thick porridge, well mashed foodsContinue with mashed family foods2–3 meals per day, plus frequent breastfeedsDepending on the child's appetite, 1–2 snacks may be offeredStart with 2–3 tablespoonfuls per feed, increasing gradually to ½ of a 250 ml cup9–11 monthsFinely chopped or mashed foods, and foods that baby can pick up3–4 meals per day, plus breastfeedsDepending on the child's appetite, 1–2 snacks may be offered½ of a 250 ml cup/bowl12–23 monthsFamily foods, chopped or mashed if necessary3–4 meals per day, plus breastfeedsDepending on the child's appetite, 1–2 snacks may be offered¾ to full 250 ml cup/bowl    a Note: If baby is not breastfed, give in addition: 1–2 cups of milk per day, and 1–2 extra meals per day."
"Why can’t we give water to a breastfeeding baby before the 6 months, even when it is hot?","Giving water to young babies puts them at risk of diarrhoea and
 malnutrition. Water may not be clean and cause the baby to have 
infections. Giving water may also cause the baby to drink less 
breastmilk or to stop breastfeeding early and therefore cause 
malnutrition. If mothers give water instead of breastfeeding it will 
also cause the mother to have less milk in the future. 
		Breast milk is more than 80% water, especially the first milk 
that comes with each feed. Therefore, whenever the mother feels her baby
 is thirsty she can breastfeed him or her. This will satisfy the bay’s 
thirst, and continue to protect the baby from infections, and help the 
baby to continue to grow well. Babies do not need water before they are 6
 months old, even in a hot climate. This is one of the reasons that WHO 
recommends for children to be exclusively breastfed for the first 6 
months of life.A child is considered exclusively breastfed when he or she 
receives only breast milk, without any additional food or liquid, even 
water, with the exception of oral rehydration solution, drops, syrups of
 vitamins, minerals or medicines.  When breastfeeding, the mother gives 
her baby all the water he or she needs, while providing “safe water” and
 protecting the baby against diarrhoea.  Related LinksPromoting proper feeding for infants and young childrenGlobal Strategy for Infant and Young Child FeedingThe WHO Child Growth Standards"
What do you consider as red meat?,"Red meat refers to all mammalian muscle meat, including, beef, veal, pork, lamb, mutton, horse, and goat."
What do you consider as processed meat?,"Processed meat refers to meat that has been transformed 
through salting, curing, fermentation, smoking, or other processes to 
enhance flavour or improve preservation. Most processed meats contain 
pork or beef, but processed meats may also contain other red meats, 
poultry, offal, or meat by-products such as blood.Examples of processed meat include hot dogs (frankfurters), 
ham, sausages, corned beef, and biltong or beef jerky as well as canned 
meat and meat-based preparations and sauces."
Why did IARC choose to evaluate red meat and processed meat?,"An international advisory committee that met in 2014 recommended 
red meat and processed meat as high priorities for evaluation by the 
IARC Monographs Programme. This recommendation was based on 
epidemiological studies suggesting that small increases in the risk of 
several cancers may be associated with high consumption of red meat or 
processed meat. Although these risks are small, they could be important 
for public health because many people worldwide eat meat and meat 
consumption is increasing in low- and middle-income countries. Although 
some health agencies already recommend limiting intake of meat, these 
recommendations are aimed mostly at reducing the risk of other diseases.
 With this in mind, it was important for IARC to provide authoritative 
scientific evidence on the cancer risks associated with eating red meat 
and processed meat."
